Project Name,Cluster,Username,Password,Python Connection String
Project_Auto_74914,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.6omuxwf.mongodb.net
Project_Auto_75055,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.bwgbxob.mongodb.net
Project_Auto_75196,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.wjekj7z.mongodb.net
Project_Auto_75337,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.2ixm2xf.mongodb.net
Project_Auto_75468,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.4havice.mongodb.net
Project_Auto_75639,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.yqq47mi.mongodb.net
Project_Auto_757710,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.8qauus6.mongodb.net
Project_Auto_76501,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.jcd0kr6.mongodb.net
Project_Auto_76662,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.pkrpswn.mongodb.net
Project_Auto_76803,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.g9cy30t.mongodb.net
Project_Auto_76944,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.wbii7xl.mongodb.net
Project_Auto_77085,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.dgj6dpw.mongodb.net
Project_Auto_77226,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.fjhjas0.mongodb.net
Project_Auto_77367,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.sm2edtw.mongodb.net
Project_Auto_77508,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.nzymcyg.mongodb.net
Project_Auto_77639,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.qjmdf4f.mongodb.net
Project_Auto_778010,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.fswa1dt.mongodb.net
Project_Auto_78211,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.niaahb7.mongodb.net
Project_Auto_78352,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.r253kol.mongodb.net
Project_Auto_78493,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.6jihqwg.mongodb.net
Project_Auto_78654,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.ooj2hbe.mongodb.net
Project_Auto_78795,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.6bxyqel.mongodb.net
Project_Auto_78936,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.dj9cq6y.mongodb.net
Project_Auto_79077,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.dikci9g.mongodb.net
Project_Auto_79228,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.mbripmv.mongodb.net
Project_Auto_79379,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.pcxpeq5.mongodb.net
Project_Auto_795010,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.vuloena.mongodb.net
Project_Auto_79841,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.jzxcfuh.mongodb.net
Project_Auto_79972,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.uwirmoq.mongodb.net
Project_Auto_80113,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.dy3wg7w.mongodb.net
Project_Auto_80274,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.wfav7tb.mongodb.net
Project_Auto_80405,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.rcnykzn.mongodb.net
Project_Auto_80546,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.irlhwpf.mongodb.net
Project_Auto_80687,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.z2n1unr.mongodb.net
Project_Auto_80848,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.s4r0zau.mongodb.net
Project_Auto_80989,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.bewbnim.mongodb.net
Project_Auto_811210,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.xj6myak.mongodb.net
Project_Auto_81671,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.0dvgcwj.mongodb.net
Project_Auto_81832,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.jct7dzh.mongodb.net
Project_Auto_81973,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.v0eutbt.mongodb.net
Project_Auto_82114,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.67fkky4.mongodb.net
Project_Auto_82265,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.ne5bfq4.mongodb.net
Project_Auto_82416,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.np948e7.mongodb.net
Project_Auto_82557,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.maxxykg.mongodb.net
Project_Auto_82708,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.pc6t0bp.mongodb.net
Project_Auto_82839,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.3lb37du.mongodb.net
Project_Auto_829610,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.jgpedts.mongodb.net
Project_Auto_88621,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.ifwc1d8.mongodb.net
Project_Auto_88782,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.xu42cwv.mongodb.net
Project_Auto_88923,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.ujxiq7l.mongodb.net
Project_Auto_89084,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.a31swwv.mongodb.net
Project_Auto_89225,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.lc7kqua.mongodb.net
Project_Auto_89386,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.xddmrf4.mongodb.net
Project_Auto_89567,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.jcfpgyr.mongodb.net
Project_Auto_89708,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.mqxsjxw.mongodb.net
Project_Auto_89859,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.qubjkms.mongodb.net
Project_Auto_899910,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.uemde4w.mongodb.net
Project_Auto_07161,Cluster1,,,mongodb+srv://admin:Password123@cluster1.bpmy29z.mongodb.net
Project_Auto_07302,Cluster2,,,mongodb+srv://admin:Password123@cluster2.c36nmoo.mongodb.net
Project_Auto_78731,Cluster1,,,mongodb+srv://admin:Password123@cluster1.2ythnyn.mongodb.net
Project_Auto_78882,Cluster2,,,mongodb+srv://admin:Password123@cluster2.yteag5s.mongodb.net
Project_Auto_79023,Cluster3,,,mongodb+srv://admin:Password123@cluster3.ovouvxp.mongodb.net
Project_Auto_79174,Cluster4,,,mongodb+srv://admin:Password123@cluster4.c45587o.mongodb.net
Project_Auto_79315,Cluster5,,,mongodb+srv://admin:Password123@cluster5.i2lcios.mongodb.net
Project_Auto_79466,Cluster6,,,mongodb+srv://admin:Password123@cluster6.6prbjah.mongodb.net
Project_Auto_79607,Cluster7,,,mongodb+srv://admin:Password123@cluster7.3cspqn7.mongodb.net
Project_Auto_79748,Cluster8,,,mongodb+srv://admin:Password123@cluster8.wts1vnz.mongodb.net
